MONTH,DATE,MODEL,PO NO 1.,Item,PO NO 2.,DEST,QTY,PO TYPE,REPACKING PO,REPACKING ,RESULT,PARTIAL Q'TY,"PARTIAL
NO",BUILDING,LINE,TQC NUM,EMPLOYEE NO,QTY INSPECTION,OFFICIAL INSPECTOR,INSPECTOR TYPE,DESCRIPTION,REMARKS,INTERNAL INSPECTOR,Stitching issue,Wrong Packing issue(prs),NOTE
7,1/7/25,VL COURT 3.0 K,900737480,1,900737480-1,China,"2,247",CHINA PO,REPACKING PO,15D,PASS,500,P4,A,Asc 03-2,8A,624020086,50,MRS.NHI,LEVEL 1,"Dirty Upper(2),Wobbling(1),Over Cement(1)",,,,,INTERNAL
7,1/7/25,VL COURT 3.0 K,900737480,1,900737480-1,China,"2,247",CHINA PO,REPACKING PO,15D,PASS,274,PC,A,Asc 03-2,8A,624020086,30,MS.HUỲNH,LEVEL 1,"Wobbling(1),Dirty O'S(1)",,,,,INTERNAL
7,2/7/25,Tensaur Sport 2.0 CF I,900340525,1,900340525-1,Utd.Arab Emir.,100,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 10-1,1A,625030111,20,MR.NHỨT,LEVEL 1,No issue,,,,,
7,2/7/25,Tensaur Sport 2.0 CF I,900953481,1,900953481-1,United Kingdom,610,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 11-1,9A,622080458,80,MR.NHỨT,LEVEL 1,Dirty O'S(2),,,,,
7,2/7/25,Tensaur Sport 2.0 CF I,901047783,1,901047783-1,Peru,556,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 10-1,1A,625030111,80,MR.THÁI,LEVEL 1,"Dirty O'S(2),Dirty Collar Lining(3)",,,,,
7,2/7/25,Tensaur Sport 2.0 CF I,901048169,1,901048169-1,Brazil,127,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 11-1,9A,622080458,20,MS.HUỲNH,LEVEL 1,Thread Ends(1),,,,,
7,2/7/25,Tensaur Sport 2.0 CF I,901049051,1,901049051-1,Spain,"2,004",NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 08-2,39A,625030296,125,MR.NHỨT,LEVEL 1,"Wrinkle(2),Dirty O'S(2)",,,,,
7,2/7/25,Tensaur Sport 2.0 CF I,901078368,1,901078368-1,Netherlands,"2,353",NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 11-1,9A,622080458,125,MS.NGÂN,LEVEL 1,"Bonding Gap(2),Over Cement(2),Dirty Upper(2)",,,,,
7,2/7/25,Tensaur Sport 2.0 CF I,4500503638,4,4500503638-4,South Africa,20,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 11-1,1A,625030111,5,MS.NGÂN,LEVEL 1,No issue,,,,,
7,2/7/25,VL COURT 3.0 K,900878931,1,900878931-1,Netherlands,776,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 03-1,15A,624050151,80,MR.NHỨT,LEVEL 1,Dirty Upper(2),,,,,
7,2/7/25,VL COURT 3.0 K,900879451,1,900879451-1,Italy,400,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 01-2,4A,624060316,50,MR.THÁI,LEVEL 1,"Wobbling(2),Off Center Heel(1)",,,,,
7,2/7/25,VL COURT 3.0 K,901044771,1,901044771-1,Netherlands,945,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 01-2,4A,624060316,80,MR.THÁI,LEVEL 1,"Over Cement(2),Wobbling(3)",,,,,
7,2/7/25,VL COURT 3.0 K,901051394,1,901051394-1,Netherlands,861,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 03-2,8A,624020086,80,MR.NHỨT,LEVEL 1,Dirty O'S(2),,,,,
7,2/7/25,VL COURT 3.0 K,901051600,1,901051600-1,Netherlands,353,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 02-2,7A,625020551,50,MR.THÁI,LEVEL 1,Wobbling(3),,,,,
7,2/7/25,ASPYRE,900992016,1,900992016-1,Netherlands,757,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 11-2,16A,624100316,80,MS.NGÂN,LEVEL 1,"Dirty Collar Lining(2),Dirty O'S(2)",,,,,
7,2/7/25,ASPYRE,900992694,1,900992694-1,Mexico,"2,050",NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 09-2,13A,622021338,125,MS.HUỲNH,LEVEL 1,Dirty O'S(2),,,,,
7,2/7/25,Tensaur Sport 2.0 CF K,900847291,1,900847291-1,United Kingdom,"1,965",NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 09-1,17A,624030271,125,MS.NGÂN,LEVEL 1,"Poor O'S(2),Dirty O'S(3)",,,,,
7,2/7/25,Tensaur Sport 2.0 CF K,900988032,1,900988032-1,Peru,132,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 05-1,23A,624110228,20,MR.THÁI,LEVEL 1,Dirty Collar Lining(1),,,,,
7,2/7/25,Tensaur Sport 2.0 CF K,901047470,1,901047470-1,Utd.Arab Emir.,142,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 05-1,23A,624110228,20,MR.THÁI,LEVEL 1,Dirty Upper(1),,,,,
7,2/7/25,Tensaur Sport 2.0 K,900860470,1,900860470-1,United Kingdom,422,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 09-1,17A,624030271,50,MRS.LY,MANAGER,No issue,,LEVEL 1 (NHI) AQL -> TOP MANAGER (MRS.LY),,,
7,2/7/25,TENSAUR SPORT 2.0 K,901216905,1,901216905-1,Netherlands,78,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,0,B-GRADE,0,0,13,MS.HUỲNH,LEVEL 1,No issue,,,,,
7,2/7/25,GRAND COURT 2.0,901216909,1,901216909-1,Netherlands,100,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,0,B-GRADE,0,0,20,MS.HUỲNH,LEVEL 1,No issue,,,,,
7,2/7/25,TENSAUR SPORT 2.0 CF K,901216911,1,901216911-1,Netherlands,238,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,0,B-GRADE,0,0,32,MR.THÁI,LEVEL 1,No issue,,,,,
7,2/7/25,TENSAUR SPORT 2.0 CF K,901216912,1,901216912-1,Netherlands,99,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,0,B-GRADE,0,0,20,MS.HUỲNH,LEVEL 1,No issue,,,,,
7,2/7/25,Tensaur Sport 2.0 CF I,901216914,1,901216914-1,Netherlands,35,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,0,B-GRADE,0,0,8,MRS.NHI,LEVEL 1,No issue,,,,,
7,2/7/25,TENSAUR SPORT 2.0 CF K,901216916,1,901216916-1,Netherlands,82,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,0,B-GRADE,0,0,13,MS.HUỲNH,LEVEL 1,No issue,,,,,
7,2/7/25,Tensaur Sport 2.0 CF K,901216917,1,901216917-1,Netherlands,29,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,0,B-GRADE,0,0,8,MRS.NHI,LEVEL 1,No issue,,,,,
7,2/7/25,GRAND COURT 2.0,901216919,1,901216919-1,Netherlands,74,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,0,B-GRADE,0,0,13,MR.THÁI,LEVEL 1,No issue,,,,,
7,2/7/25,Tensaur Sport 2.0 CF K,901216921,1,901216921-1,Netherlands,36,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,0,B-GRADE,0,0,8,MRS.NHI,LEVEL 1,No issue,,,,,
7,2/7/25,ADVANTAGE K,901216923,1,901216923-1,Netherlands,78,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,0,B-GRADE,0,0,13,MS.HUỲNH,LEVEL 1,No issue,,,,,
7,2/7/25,GRAND COURT 2.0,901216925,1,901216925-1,Netherlands,10,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,0,B-GRADE,0,0,3,MS.HUỲNH,LEVEL 1,No issue,,,,,
7,2/7/25,GRAND COURT 2.0,901216926,1,901216926-1,Netherlands,24,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,0,B-GRADE,0,0,5,MR.THÁI,LEVEL 1,No issue,,,,,
7,2/7/25,GRAND COURT 2.0,901216928,1,901216928-1,Netherlands,57,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,0,B-GRADE,0,0,13,MR.THÁI,LEVEL 1,No issue,,,,,
7,2/7/25,ADVANTAGE,901216931,1,901216931-1,Netherlands,10,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,0,B-GRADE,0,0,3,MS.HUỲNH,LEVEL 1,No issue,,,,,
7,2/7/25,ADVANTAGE,901216933,1,901216933-1,Netherlands,13,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,0,B-GRADE,0,0,3,MRS.NHI,LEVEL 1,No issue,,,,,
7,2/7/25,ADVANTAGE,901216934,1,901216934-1,Netherlands,12,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,0,B-GRADE,0,0,3,MRS.NHI,LEVEL 1,No issue,,,,,
7,2/7/25,VL COURT 3.0 EL C,901216936,1,901216936-1,Netherlands,12,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,0,B-GRADE,0,0,3,MS.HUỲNH,LEVEL 1,No issue,,,,,
7,2/7/25,ADVANTAGE,901216937,1,901216937-1,Netherlands,13,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,0,B-GRADE,0,0,3,MS.HUỲNH,LEVEL 1,No issue,,,,,
7,2/7/25,ADVANTAGE,901216938,1,901216938-1,Netherlands,39,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,0,B-GRADE,0,0,8,MRS.NHI,LEVEL 1,No issue,,,,,
7,2/7/25,VL COURT 3.0 K,901216939,1,901216939-1,Netherlands,19,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,0,B-GRADE,0,0,5,MR.THÁI,LEVEL 1,No issue,,,,,
7,2/7/25,GALAXY 7 M,901216940,1,901216940-1,Netherlands,20,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,0,B-GRADE,0,0,5,MR.THÁI,LEVEL 1,No issue,,,,,
7,2/7/25,GALAXY 7 M,901216941,1,901216941-1,Netherlands,22,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,0,B-GRADE,0,0,5,MR.THÁI,LEVEL 1,No issue,,,,,
7,2/7/25,GALAXY 7 M,901216942,1,901216942-1,Netherlands,67,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,0,B-GRADE,0,0,13,MS.HUỲNH,LEVEL 1,No issue,,,,,
7,2/7/25,GALAXY 7 M,901216943,1,901216943-1,Netherlands,52,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,0,B-GRADE,0,0,13,MS.HUỲNH,LEVEL 1,No issue,,,,,
7,2/7/25,VL COURT 3.0 K,901216950,1,901216950-1,Netherlands,218,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,0,B-GRADE,0,0,32,MR.THÁI,LEVEL 1,No issue,,,,,
7,2/7/25,VL COURT 3.0,901216953,1,901216953-1,Netherlands,10,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,0,B-GRADE,0,0,3,MS.HUỲNH,LEVEL 1,No issue,,,,,
7,2/7/25,VL COURT 3.0 K,901216959,1,901216959-1,Netherlands,20,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,0,B-GRADE,0,0,5,MR.THÁI,LEVEL 1,No issue,,,,,
7,2/7/25,LIGHTSHIFT,901216969,1,901216969-1,Netherlands,34,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,0,B-GRADE,0,0,8,MS.HUỲNH,LEVEL 1,No issue,,,,,
7,2/7/25,Tensaur Sport 2.0 CF K,901216986,1,901216986-1,Netherlands,21,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,0,B-GRADE,0,0,5,MS.HUỲNH,LEVEL 1,No issue,,,,,
